date,count1,Priority
2019-11-18,0.0,60
2019-11-23,0.0,76
2019-11-28,0.0,100
2019-12-03,0.0,97
2019-12-08,0.0,98
2019-12-13,0.0,66
2019-12-18,0.0,55
2019-12-23,0.0,28
2019-12-28,0.0,36
2020-01-02,0.0,41
2020-01-07,4.0,97
2020-01-12,0.0,38
2020-01-17,12.0,24
2020-01-22,61.0,30
2020-01-27,0.0,35
2020-02-01,0.0,23
2020-02-06,0.0,37
2020-02-11,0.0,49
2020-02-16,0.0,37
2020-02-21,32.0,37
2020-02-26,14.0,21
2020-03-02,0.0,33
2020-03-07,44.0,38
2020-03-12,24.0,31
2020-03-17,20.0,38
2020-03-22,0.0,44
2020-03-27,0.0,44
2020-04-01,0.0,39
2020-04-06,0.0,38
2020-04-11,0.0,32
2020-04-16,0.0,35
2020-04-21,0.0,34
2020-04-26,0.0,28
2020-05-01,0.0,34
2020-05-06,0.0,33
2020-05-11,0.0,36
2020-05-16,0.0,20
2020-05-21,0.0,25
2020-05-26,12.0,33
2020-05-31,16.0,34
2020-06-05,0.0,15
2020-06-10,9.0,21
2020-06-15,2.0,17
2020-06-20,0.0,22
2020-06-25,0.0,13
2020-06-30,0.0,12
2020-07-05,0.0,14
2020-07-10,0.0,26
2020-07-15,12.0,11
2020-07-20,0.0,27
2020-07-25,2.0,9
2020-07-30,0.0,13
2020-08-04,5.0,19
2020-08-09,10.0,25
2020-08-14,0.0,7
2020-08-19,12.0,16
2020-08-24,4.0,19
2020-08-29,0.0,11
2020-09-03,8.0,9
2020-09-08,0.0,10
2020-09-13,18.0,27
2020-09-18,0.0,22
2020-09-23,0.0,21
2020-09-28,20.0,13
2020-10-03,0.0,18
2020-10-08,0.0,16
2020-10-13,44.0,46
2020-10-18,14.0,38
2020-10-23,0.0,58
2020-10-28,21.0,36
2020-11-02,0.0,35
2020-11-07,0.0,28
2020-11-12,0.0,32
2020-11-17,0.0,34
2020-11-22,0.0,42
2020-11-27,0.0,55
2020-12-02,0.0,41
2020-12-07,0.0,52
2020-12-12,0.0,47
2020-12-17,0.0,50
2020-12-22,0.0,16
2020-12-27,0.0,22
2021-01-01,0.0,31
2021-01-06,0.0,55
2021-01-11,0.0,30
2021-01-16,0.0,25
2021-01-21,0.0,16
2021-01-26,0.0,24
2021-01-31,0.0,27
2021-02-05,48.0,36
2021-02-10,15.0,52
2021-02-15,0.0,14
2021-02-20,0.0,19
2021-02-25,0.0,27
2021-03-02,29.0,37
2021-03-07,20.0,28
2021-03-12,4.0,20
2021-03-17,0.0,32
2021-03-22,0.0,38
2021-03-27,0.0,40
2021-04-01,12.0,21
2021-04-06,12.0,29
2021-04-11,0.0,41
2021-04-16,0.0,23
2021-04-21,0.0,22
2021-04-26,0.0,36
2021-05-01,16.0,34
2021-05-06,7.0,29
2021-05-11,0.0,31
2021-05-16,29.0,46
2021-05-21,0.0,35
2021-05-26,20.0,25
2021-05-31,0.0,49
2021-06-05,10.0,38
2021-06-10,2.0,37
2021-06-15,21.0,48
2021-06-20,0.0,33
2021-06-25,0.0,33
2021-06-30,0.0,27
2021-07-05,0.0,42
2021-07-10,16.0,41
2021-07-15,0.0,41
2021-07-20,0.0,41
2021-07-25,0.0,43
2021-07-30,0.0,40
2021-08-04,12.0,41
2021-08-09,6.0,43
2021-08-14,0.0,46
2021-08-19,29.0,37
2021-08-24,0.0,39
2021-08-29,0.0,56
2021-09-03,18.0,48
2021-09-08,0.0,44
2021-09-13,35.0,46
2021-09-18,0.0,52
2021-09-23,24.0,29
2021-09-28,125.0,39
2021-10-03,0.0,42
2021-10-08,2.0,37
2021-10-13,22.0,36
2021-10-18,0.0,50
2021-10-23,0.0,34
2021-10-28,79.0,37
