date,count1,Priority,Category
2021-03-27,0,40,2
2021-04-01,12,21,2
2021-04-06,12,29,2
2021-04-11,0,41,2
2021-04-16,0,23,2
2021-04-21,0,22,2
2021-04-26,0,36,2
2021-05-01,16,34,2
2021-05-06,7,29,2
2021-05-11,0,31,2
2021-05-16,29,46,2
2021-05-21,0,35,2
2021-05-26,20,25,2
2021-05-31,0,49,2
2021-06-05,10,38,2
2021-06-10,2,37,2
2021-06-15,21,48,2
2021-06-20,0,33,2
2021-06-25,0,33,2
2021-06-30,0,27,2
2021-07-05,0,42,2
2021-07-10,16,41,2
2021-07-15,0,41,2
2021-07-20,0,41,2
2021-07-25,0,43,2
2021-07-30,0,40,2
2021-08-04,12,41,2
2021-08-09,6,43,2
2021-08-14,0,46,2
2021-08-19,29,37,2
2021-08-24,0,39,2
2021-08-29,0,56,2
2021-09-03,18,48,2
2021-09-08,0,44,2
2021-09-13,35,46,2
2021-09-18,0,52,2
2021-09-23,24,29,2
2021-09-28,125,39,2
2021-10-03,0,42,2
2021-10-08,2,37,2
2021-10-13,22,36,2
2021-10-18,0,50,2
2021-10-23,0,34,2
2021-10-30,14,6,3
2018-10-01,0,104,3
2018-10-06,0,86,3
2018-10-11,0,77,3
2018-10-16,0,96,3
2018-10-21,0,104,3
2018-10-26,0,94,3
2018-10-31,0,76,3
2018-11-05,0,107,3
2018-11-10,0,82,3
2018-11-15,0,75,3
2018-11-20,0,144,3
2018-11-25,0,131,3
2018-11-30,0,111,3
2018-12-05,0,106,3
2018-12-10,0,102,3
2018-12-15,0,90,3
2018-12-20,0,56,3
2018-12-25,0,58,3
2018-12-30,0,60,3
2019-01-04,0,102,3
2019-01-09,0,104,3
2019-01-14,0,37,3
2019-01-19,0,42,3
2019-01-24,0,32,3
2019-01-29,0,37,3
2019-02-03,0,41,3
2019-02-08,0,47,3
2019-02-13,0,28,3
2019-02-18,0,43,3
2019-02-23,0,41,3
2019-02-28,0,31,3
2019-03-05,0,46,3
2019-03-10,0,50,3
2019-03-15,0,52,3
2019-03-20,0,51,3
2019-03-25,0,59,3
2019-03-30,0,53,3
2019-04-04,0,44,3
2019-04-09,0,46,3
2019-04-14,0,41,3
2019-04-19,0,33,3
2019-04-24,0,50,3
2019-04-29,0,56,3
2019-05-04,0,52,3
2019-05-09,0,24,3
2019-05-14,0,36,3
2019-05-19,0,30,3
2019-05-24,0,34,3
2019-05-29,0,28,3
2019-06-03,0,45,3
2019-06-08,0,25,3
2019-06-13,0,25,3
2019-06-18,0,17,3
2019-06-23,0,33,3
2019-06-28,0,23,3
2019-07-03,0,22,3
2019-07-08,0,32,3
2019-07-13,0,36,3
2019-07-18,0,24,3
2019-07-23,0,35,3
2019-07-28,0,39,3
2019-08-02,0,23,3
2019-08-07,0,6,3
2019-08-12,0,16,3
2019-08-17,0,11,3
2019-08-22,0,16,3
2019-08-27,0,18,3
2019-09-01,0,16,3
2019-09-06,0,13,3
2019-09-11,0,12,3
2019-09-16,0,20,3
2019-09-21,0,9,3
2019-09-26,0,8,3
2019-10-01,0,22,3
2019-10-06,0,38,3
2019-10-11,0,24,3
2019-10-16,0,38,3
2019-10-21,0,40,3
2019-10-26,0,52,3
2019-10-31,0,15,3
2019-11-05,0,10,3
2019-11-10,0,15,3
2019-11-15,0,15,3
2019-11-20,0,13,3
2019-11-25,0,42,3
2019-11-30,0,33,3
2019-12-05,0,14,3
2019-12-10,0,21,3
2019-12-15,0,8,3
2019-12-20,0,11,3
2019-12-25,0,7,3
2019-12-30,0,5,3
2020-01-04,0,2,3
2020-01-09,0,5,3
2020-01-14,0,7,3
2020-01-19,0,2,3
2020-01-24,8,11,3
2020-01-29,0,6,3
2020-02-03,0,10,3
2020-02-08,0,15,3
2020-02-13,0,6,3
2020-02-18,0,7,3
2020-02-23,12,9,3
2020-02-28,0,11,3
2020-03-04,0,14,3
2020-03-09,4,6,3
2020-03-14,0,10,3
2020-03-19,12,7,3
2020-03-24,0,8,3
2020-03-29,0,8,3
2020-04-03,0,0,3
2020-04-08,0,4,3
2020-04-13,0,5,3
2020-04-18,0,7,3
2020-04-23,0,6,3
2020-04-28,0,3,3
2020-05-03,0,4,3
2020-05-08,0,7,3
2020-05-13,0,0,3
2020-05-18,0,7,3
2020-05-23,0,8,3
2020-05-28,4,6,3
2020-06-02,8,6,3
2020-06-07,0,4,3
2020-06-12,3,5,3
2020-06-17,0,2,3
2020-06-22,0,7,3
2020-06-27,0,6,3
2020-07-02,0,4,3
2020-07-07,0,5,3
2020-07-12,0,3,3
2020-07-17,4,2,3
2020-07-22,0,5,3
2020-07-27,1,2,3
2020-08-01,0,3,3
2020-08-06,0,2,3
2020-08-11,0,0,3
2020-08-16,2,6,3
2020-08-21,0,2,3
2020-08-26,0,3,3
2020-08-31,8,2,3
2020-09-05,0,1,3
2020-09-10,0,0,3
2020-09-15,0,2,3
2020-09-20,0,4,3
2020-09-25,0,4,3
2020-09-30,5,6,3
2020-10-05,0,10,3
2020-10-10,0,4,3
2020-10-15,8,6,3
2020-10-20,0,6,3
2020-10-25,2,4,3
2020-10-30,0,3,3
2020-11-04,0,2,3
2020-11-09,0,8,3
2020-11-14,0,9,3
2020-11-19,0,11,3
2020-11-24,0,5,3
2020-11-29,0,7,3
2020-12-04,0,4,3
2020-12-09,0,12,3
2020-12-14,0,10,3
2020-12-19,0,10,3
2020-12-24,0,1,3
2020-12-29,0,7,3
2021-01-03,0,5,3
2021-01-08,0,4,3
2021-01-13,0,4,3
2021-01-18,0,2,3
2021-01-23,0,2,3
2021-01-28,0,4,3
2021-02-02,24,8,3
2021-02-07,3,9,3
2021-02-12,0,3,3
2021-02-17,0,0,3
2021-02-22,0,6,3
2021-02-27,9,10,3
2021-03-04,5,3,3
2021-03-09,0,4,3
2021-03-14,0,5,3
2021-03-19,0,5,3
2021-03-24,0,7,3
2021-03-29,0,17,3
2021-04-03,6,5,3
2021-04-08,3,8,3
2021-04-13,0,20,3
2021-04-18,0,7,3
2021-04-23,0,1,3
2021-04-28,0,3,3
2021-05-03,11,9,3
2021-05-08,0,7,3
2021-05-13,0,3,3
2021-05-18,5,10,3
2021-05-23,0,5,3
2021-05-28,20,11,3
2021-06-02,0,2,3
2021-06-07,0,4,3
2021-06-12,0,12,3
2021-06-17,14,10,3
2021-06-22,0,4,3
2021-06-27,0,4,3
2021-07-02,0,7,3
2021-07-07,0,7,3
2021-07-12,16,10,3
2021-07-17,0,10,3
2021-07-22,0,6,3
2021-07-27,0,6,3
2021-08-01,0,6,3
2021-08-06,12,18,3
2021-08-11,12,9,3
2021-08-16,15,13,3
2021-08-21,1,9,3
2021-08-26,0,8,3
2021-08-31,0,4,3
2021-09-05,6,11,3
2021-09-10,4,2,3
2021-09-15,0,11,3
2021-09-20,1,11,3
2021-09-25,38,16,3
2021-09-30,16,11,3
2021-10-05,0,10,3
2021-10-10,4,13,3
2021-10-15,0,20,3
2021-10-20,0,18,3
2021-10-25,14,15,3
